Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
27637,11/13/2017,Trash - Curbside/Alley Missed Pickup,They completely drove by my house Friday and picked up my neighbor's trash.,2311 whipple pl,37214,RED RIVER,2503,15,1766263.593,665885.7814
27897,11/14/2017,Trash Collection Complaint,only picked up 1 of 2 carts,6362 alamo pl,37209,RED RIVER,4203,20,1710698.486,663617.0378
27921,11/14/2017,Trash Collection Complaint,"resident attempted to talk w driver about possibility of cart falling into truck last week
said driver very mean & disrespectful 615-525-3928",2523 Dickerson Pike,37207,WASTE IND,2207,8,1742968.364,685115.9992
28154,11/15/2017,Trash - Backdoor,Pick up at the backdoor.,108 Haynes Park Dr,37218,RED RIVER,3204,1,1721861.664,683551.751
28158,11/15/2017,Damage to Property,"cable lines pulled from house - caused damage to roof has pictures
comcast on site repair line itself but roof has damage",6347 alamo pl,37209,RED RIVER,4203,20,1711130.449,663421.4019
28164,11/15/2017,Trash Collection Complaint,"Complaint with trash/driver that was working for Wednesday pickup, cal de sac reckless with what trash/driver is doing and very rude. {overflow also he seen her coming to talk to him and he just left. Trash/curb only emptied half way.",108 Lexington Ct,37215,RED RIVER,3304,34,1722376.217,644865.632
28169,11/15/2017,Trash Collection Complaint,picked up everyone on street except her cart,301 54th ave n,37209,RED RIVER,1308,24,1716604.166,661797.6011
28291,11/15/2017,Trash Collection Complaint,The trash trucks in their area have been leaking hazardous waste since the summer. She and several neighbors have called about it. It smells badly and the rain does not wash it away.  They are afrais that their children and pets will get into it. Not sure if the leakage if from the trash or the truck. There is a bunch at the bottom of her driveway now and she is afraid to let her son outside. Their hauling Co. is Red River.,711 Starlit Rd,37205,RED RIVER,1305,23,1706687.367,654262.4018
28381,11/16/2017,Trash - Curbside/Alley Missed Pickup,trash cart empty,1307 Hildreth Dr,37215,RED RIVER,3303,34,1728445.089,637370.8588
28382,11/16/2017,Trash Collection Complaint,Trash picked up this morning and driver dropped empty can on its side blocking the sidewalk where School children walk to Wright Middle school. Why does the trash driver not get out of his truck and stand the can up?  McCall Street 37211,136 mccall st,37211,RED RIVER,1404,16,1753531.365,643419.2012
28419,11/16/2017,Trash Collection Complaint,customer says the drivers consistently do not empty half of the trash carts in the area,1716 ORDWAY PL,37206,METRO,9501,6,1750714.565,672752.8014
28487,11/16/2017,Trash Collection Complaint,"trash driver going way to fast in reverse, never slow down & paid attention to make sure that people were out walking their dog, upset caller and wants supervisor to talk to this driver and he needs to be slow down, he was at the dead end at the time, going in reverse. They yell at him and he put his arms up like he just did not care.",804 Elissa Dr,37217,RED RIVER,1401,13,1760499.165,658038.2014
28550,11/16/2017,Trash - Backdoor,only emptied one of her carts,2621 Jones View Dr,37207,RED RIVER,2201,8,1744931.158,686096.4649
28569,11/16/2017,Trash Collection Complaint,cart ran over by trash truck but did not damage cart - truck driver speeding down alley and leaving trash behind & does not put carts back where they got them,1906 15th ave s,37212,METRO,9407,18,1734666.566,656416.0014
28638,11/17/2017,Trash - Curbside/Alley Missed Pickup,customer has 2 trash carts and only one of them were emptied,1209 4th ave n,37208,WASTE IND,3208,19,1736133.766,671734.4017
28658,11/17/2017,Trash Collection Complaint,Trash/Truck is leaving lots of oil on the streets of Eldon Ct and through the sub-division. Look bad and wants this to be clear out and also to let someone know to check there trash/trucks for repairs. Leaving oil on streets.,221 Eldon Ct,37214,RED RIVER,1505,14,1776855.905,671781.4566
28661,11/17/2017,Trash Collection Complaint,"said no where to put cart in alley due to fence in way 
wants spvr to go look & call to advise (615) 477-8677",2416 brasher ave,37206,METRO,9503,5,1747737.287,678856.0147
28690,11/17/2017,Trash - Backdoor,"Extra trash pickup, truck came and left his cart. Alley
also construction going on around there, and he had set small sticks of limbs but took them out.",1626 Shelby Ave,37206,METRO,9508,6,1749899.664,669422.2422
28819,11/17/2017,Trash Collection Complaint,trash truck threw cart into the middle of the road and left it there,3213 penn meade way,37214,,,15,1761360.895,695497.0905
28820,11/17/2017,Trash Collection Complaint,picked up everyone except her,3213 penn meade way,37214,RED RIVER,1501,15,1761360.895,695497.0905
29013,11/20/2017,Trash - Backdoor,Complaint wants backdoor/trash pickup before Friday. Overflowing and it's backdoor. Emptied before.,735 Lake Terrace Dr,37217,RED RIVER,3505,29,1786978.695,636554.3519
29018,11/20/2017,Trash - Curbside/Alley Missed Pickup,"said no access to alley - TRACI system show alley pick up 
please review & advise & pick up at curb",1815 7th ave n,37208,WASTE IND,3207,19,1733217.767,674586.4021
29197,11/20/2017,Trash Collection Complaint,626 40th Ave N - Clifton Ave Market- 4 trash carts are full and need to be removed because nobody is claiming the carts.,626 40th Ave N,37209,WASTE IND,3307,21,1722278.567,664856.8012
29310,11/21/2017,Trash Collection Complaint,"knocking cart over after pick up - resident is disabled and not able to pick up
please go back & set up right for resident. 
(we have mailed back door waiver form)",3204 ewingdale dr,37207,RED RIVER,3201,3,1735834.772,693401.3181
29353,11/21/2017,Trash Collection Complaint,"Thanks to trash pick-up crew for their patience in dealing with a lawn service that had blocked the alley.  They were patient, and talked to the lawn service to get the alley cleared.  I appreciate it!",924 Locklayer St,37208,WASTE IND,3208,19,1734572.613,669698.5283
29388,11/21/2017,Damage to Property,"Customer does not understands why trash-truck bent mail-box again today. Damage mail-box won't close mail will get wet if it rains. {Repair/Please} 2nd time if any questions call her. 
615-876-9325
Judy Cooper",717 Troy Dr,37207,RED RIVER,3205,2,1727518.612,689610.189
29659,11/22/2017,Trash - Curbside/Alley Missed Pickup,Trash pickup Tuesday,2709 Mailan Dr,37206,RED RIVER,1203,7,1759877.764,678137.8006
29874,11/27/2017,Damage to Property,back door pick up - said truck drove over 2 lights in driveway broken off,4627 Fanning Dr,37013,RED RIVER,4505,28,1769454.565,633049.6026
29955,11/27/2017,Trash Collection Complaint,"Alley trash pickup, has 2 trash/carts but only one gets emptied all the way, 2nd trash/cart does not. This happens all the time and wants this matter to be corrected.",1205 MeHarry Blvd,37208,METRO,9208,19,1732551.367,669628.8009
30202,11/28/2017,Damage to Property,"ref 298388 / cw 939492 is not satisfied with repair of mail box hit by trash truck 
please call asap 
615-876-9325 or 615-496-7934 cell 
Judy Cooper",717 Troy Dr,37207,RED RIVER,3205,2,1727518.612,689610.189
30268,11/28/2017,Damage to Property,"Big concrete Lion has been knock off into the ditch, never had any problems before with the old driver, whom ever came on Friday for backdoor/trash/pickup should have damage on trash/truck.  Just want higher up to know and needs to be address, they are not able to pickup because it's heavy and health reasons. Please investigate.  {a paw/foot}. Fallen off drive, little damage to lion just wants to know. Should of been reported.",2724 Windemere Dr,37214,RED RIVER,1503,15,1765761.764,674058.4021
30293,11/28/2017,Trash Collection Complaint,"customer says there's two trash carts for units A & B, but each week only one of the carts are emptied. customer says they never empty both carts.",1424 STAINBACK AVE,37207,METRO,9204,5,1743016.163,679855.2007
30295,11/28/2017,Trash - Curbside/Alley Missed Pickup,"customer says there's two trash carts for units A & B, but each week only one of the carts are emptied. customer says they never empty both carts.",1424 STAINBACK AVE,37207,METRO,9204,5,1743016.163,679855.2007
30387,11/28/2017,Trash Collection Complaint,"said accidentally put lots of important papers in trash in yellow plastic bag 
wants to retrieve - called prior & was given Red rivers phone number and they are not answering - said very very important that she might be able to retrieve",1701 windover dr,37218,RED RIVER,4202,2,1718641.767,680289.5995
30414,11/28/2017,Trash Collection Complaint,not emptying cart all the way leaving trash behind all the time,6106 california ave A,37209,METRO,9302,20,1714370.096,668325.7132
30511,11/29/2017,Trash - Backdoor,"West Hamilton side is where trash/cart will be set. {Driveway is there}
mother's waiver was cancelled, will send waiver back she's in hospital.",4096 Kings Ln,37218,RED RIVER,3203,1,1716212.166,686727.1993
30581,11/29/2017,Trash Collection Complaint,customer says the drivers yelled at her husband and were upset about where he's parking his car. the parking location may be causing an issue with the pickup,1815 6TH AVE N,37208,WASTE IND,3207,19,1733567.366,674723.2016
30597,11/29/2017,Trash Collection Complaint,"Customer states garbage-men when picking up cart, spilled one of her bag and everything fallen out into inside cart. She want's cart to be emptied correctly now trash/is still inside. Emptied Cart {ALLEY}",1914 Beechwood Ave,37212,METRO,9308,18,1731753.367,653837.6019
30910,11/30/2017,Trash Collection Complaint,Says that the trash collector in his area always leaves the carts allover the roadway and in the ditch- this is causing damaged to the carts and it is also a safety hazard when they are in the middle of the roadway. Would like to see the guy take his time to put the carts back in their place.,400 Fieldcrest Dr,37211,RED RIVER,2401,26,1745290.564,633837.6015
30988,12/1/2017,Trash Collection Complaint,Mrs Mc Cann stated the Saturday after Thanksgiving her trash was piicked up and the trash truck broke down in front of her address.  Another truck came to help by spreading sand all over the spill. Now it is a big mess. Customer wants someone to come out and clean up the area.,4225 Generosity Way,37211,RED RIVER,1403,26,1759057.465,642160.0558
31126,12/1/2017,Trash Collection Complaint,customer is upset that the truck pulled into her driveway behind her car and backed out of her driveway in order to continue his route. The customer doesn't want the trucks pulling into her driveway,2430 scott valley dr,37217,RED RIVER,4502,29,1777650.974,636986.2515
31164,12/1/2017,Damage to Property,"Truck some-how got caught to the wire line, of some sort. Utility line. Just so someone knows about this. Be Recorded {wire is hanging very low} beside the house cul-de sac. {Safety Hazard}",4705 Crystal Brook Dr,37013,RED RIVER,4405,32,1768354.009,621621.9974
31368,12/4/2017,Damage to Property,customer says work was being done in the alley and the ramp going into his garage was damaged,1210 Elmwood Ave,37212,METRO,9403,18,1735036.062,653747.1825
31438,12/4/2017,Trash Collection Complaint,"cust says once trash is collected, the carts are left all over the street",2522 SONAR ST,37214,RED RIVER,1501,15,1760913.565,694723.5799
31519,12/4/2017,Trash - Backdoor,cust needs a backdoor pickup,1635 Chase St,37216,METRO,9502,7,1751940.963,679701.5996
31616,12/5/2017,Trash Collection Complaint,picked up everyone except his cart 3rd week in a row,2218 Buena Vista Pike,37218,RED RIVER,4204,2,1724505.766,679777.5997
31692,12/5/2017,Damage to Property,Mail box damage by trash/truck {rod-iron mail box with metal box} needs to be repair asap. This happen last Tuesday. Neighbor seen them.  {Wants a call back or just come and replace mail-box.,735 Moormans Arm Rd,37207,RED RIVER,3205,2,1728276.965,686114.3996
31747,12/5/2017,Trash Collection Complaint,paid back door service - said driveway is new and wants trash representative to not take truck onto driveway 30 days and instead to have then walk down driveway and pick up trash manually - please call 615-832-0797,70 Tusculum Rd,37013,RED RIVER,4405,30,1767560.964,626590.4027
31752,12/5/2017,Trash Collection Complaint,Very upset resident wants a call from the Supervisor today. 615-353-4771,6208 Henry Ford Dr,37209,RED RIVER,4205,20,1709544.166,662878.4009
31861,12/6/2017,Trash Collection Complaint,not putting cart back and tossing onto ground,509 31st ave n 1,37209,METRO,9303,21,1725938.566,664083.2016
31864,12/6/2017,Trash - Curbside/Alley Missed Pickup,Resident did not get cart out on time - need extra pick up,728 29th ave n,37209,METRO,9304,21,1726434.064,666085.3708
31882,12/6/2017,Trash Collection Complaint,Caller stated that the person picking up trash today on his street has broke several lids and throwing trash all down the street.,215 morton ave,37211,RED RIVER,4304,16,1751352.148,645915.87
31890,12/6/2017,Trash Collection Complaint,emptied neighbors carts and not his,944 battlefield dr,37204,RED RIVER,4305,25,1736458.566,649425.4019
31896,12/6/2017,Trash Collection Complaint,Caller states that the trash carts from the Bristol West End Condominiums  are blocking the alley. Callers driveway is in the alley and once the trash carts are brought out he can't access his drive and the whole alley is block until trash carts are emptied. This alley is at the corner of Vanderbuilt Place and 29th Ave S,3000 Vanderbilt pl,37212,Metro,,21,1728337.697,659496.6987
31907,12/6/2017,Trash Collection Complaint,"fraud Green post card in mail box that was not mailed but placed in mailbox 
everyone in neighborhood - talked with Red River driver said not them. Post card size said from ""Trashmen""  please mail all gift & blessings to Po box 2235 Goodlettsville tn (no zip code) 
also ruby 615-298-1797 or  greg riechert 292-9697",311 windemere woods dr,37215,RED RIVER,3305S,34,1723550.914,645079.9613
32000,12/6/2017,Trash - Curbside/Alley Missed Pickup,It looks like the trash was picked up on one side of the street but not the other,1735 Hillmont Dr,37215,RED RIVER,3305,25,1730737.971,647260.28
32112,12/7/2017,Trash Collection Complaint,Caller states trash/men where digging very hard through her neighbor's trash/cart. Like if they where looking for stuff. She did not like to see this. Just wants higher up to know about this. Across the street from this address,3202 Louise Dr,37211,METRO,9408,16,1747656.164,644992.0035
32189,12/7/2017,Trash Collection Complaint,customer says the driver drove by his home and emptied everyone else's trash except his for 2 weeks in a row,635 Durrett Dr,37211,RED RIVER,2404,27,1751402.504,632562.0622
32193,12/7/2017,Trash Collection Complaint,"Alley trash pickup, has 2 trash/carts but only one gets emptied all the way, 2nd trash/cart does not. This happens all the time and wants this matter to be corrected.",1205 MeHarry Blvd,37208,METRO,9208,19,1732551.367,669628.8009
32339,12/8/2017,Trash Collection Complaint,"compacting trash in front of home leaking juice & debris & glass 
wants cleaned",1805 25th ave n,37208,METRO,9205,21,1727060.967,673528.0018
32365,12/8/2017,Trash Collection Complaint,"because cars park on the side of the street, cust says trucks need to make sure that carts are placed back on the side and not in the middle of the street after being emptied",1307 Otay St,37216,METRO,9502,7,1751741.766,680054.9999
32419,12/8/2017,Trash Collection Complaint,Would like to request that the driver place the carts off the alley so that they can access their driveways without having to step out of the car to move them out of the ROW. Says this has been an ongoing issue.,1035 CHICAMAUGA AVE,37206,METRO,9504,5,1747271.624,674890.0367
32449,12/8/2017,Trash Collection Complaint,Customer said when her trash was dumped today some of the bags fell off in front of her driveway and she had to leave work to clean up mess.,3413 Doriswood Ct,37013,RED RIVER,3504,33,1789046.65,634976.2544
32469,12/8/2017,Damage to Property,cable box on the side of the house was damaged,2645 Western Hills Dr,37214,RED RIVER,1501,15,1766816.163,685900.8005
32841,12/12/2017,Trash Collection Complaint,"SOMEONE STOLE TRASH CAN AND DUMPED GARBAGE AT TLOCATION, OWNER NEEDS NEW CAN AND ALSO HAS BAGGED TRASH IN BAGS TO BE PICKED UP ON NORMAL ROUTE THIS MORNING. CAN SOMEONE PLEASE CALL THE OWNER PW CUSTOMER SERVICE TO FOLLOW UP WITH OWNER PLEASE.",2729 WHITES CREEK PKE,37207,,,2,1731247.418,688080.5485
32906,12/12/2017,Damage to Property,"Trash/Truck damage big plastic mail-box, her elderly mom seen him & talk to driver of truck. Trash/driver try pushing post back in ground but could not. So now mail-carrier can not deliver any mail until the mail-box is repair. {big plastic mail-box with concrete needs to be install back with cement materials. As Soon As Possible, call her is any questions.",575 Castlegate Dr,37217,RED RIVER,3505,29,1787447.38,637658.1112
32965,12/12/2017,Damage to Property,trash truck knocked box off mailbox post- caller set the box on mailbox post but it is not fixed. caller thinks it can be fixed with same box and post.,1217 curran ct,37013,RED RIVER,3504,29,1785017.164,631451.9114
33110,12/13/2017,Trash Collection Complaint,"CUSTOMER VERY UPSET THE TRASH MAN CAME EARLY AGAIN BEFORE 7 AND WHEN SHE CALLED IT ROLLED TO OEM A T 7:02, SHE STATED THAT IF NASHVILLE HUB ISN'T GOING ANSWER AT 7 AM THEN THEY NEED TO CHANGE THE WEBSITE TIME, SHE STATED SHE WOULD TRY BACK AND ASK FOR A SUPERVISOR, WAS UNABLE TO GET HER NAME",4739 clarksville pike,37218,RED RIVER,3201,1,1723120.166,696232.7988
33302,12/13/2017,Trash - Curbside/Alley Missed Pickup,I have 2 containers they picked up the less full one & left the full one. It is not really a complaint Just wanted you to be aware,4111 Media St,37209,WASTE IND,2306,24,1721621.765,660552.0023
33303,12/13/2017,Trash - Curbside/Alley Missed Pickup,I have 2 containers they picked up the less full one & left the full one. It is not really a complaint Just wanted you to be aware,4111 Media St,37209,WASTE IND,2306,24,1721621.765,660552.0023
33500,12/14/2017,Trash Collection Complaint,caller has video footage of trash collection truck knocking over her cart which emptied trash onto property/street. Then truck drove off.,204 hopewood ct,37211,RED RIVER,2405,30,1756016.965,634045.1971
33528,12/14/2017,Damage to Property,metro trash truck pick up at the house next to the day care and he bumped into their fence. Damaged fence at 4430 Winston Ave W,4430 Winston Ave W,37211,RED RIVER,2405,27,1753190.563,633560.8009
33546,12/14/2017,Trash Collection Complaint,"information on how many & what names picks up her trash from back door
615-714-6915
wants to remember them on the holidays",411 wilsonia ave,37205,RED RIVER,2302,23,1712069.766,654618.4022
33578,12/15/2017,Trash - Curbside/Alley Missed Pickup,3424 hamilton church rd is not getting the trash pick up service. I have called twice and yet nothing has change.,3424 Hamilton Church Rd,37013,RED RIVER,3504,33,1789502.564,629742.4026
33761,12/15/2017,Trash - Backdoor,cust needs a backdoor pickup,1635 Chase St,37216,METRO,9502,7,1751940.963,679701.5996
33774,12/15/2017,Damage to Property,mail box knocked over,828 richards rd,37013,RED RIVER,4505,28,1769678.469,632319.1201
33793,12/15/2017,Damage to Property,"The trash truck hit our car on Thursday afternoon. He hit our next door neighbors car and the police were called our address is 543 Bonerwood dr Nashville, to 37211",543 Bonerwood Dr,37211,RED RIVER,2405,27,1751934.983,632572.3752
34173,12/19/2017,Damage to Property,mailbox hit by trash truck and now it wont close,4608 dowdy dr,37013,RED RIVER,4501,28,1770256.067,633114.5312
34376,12/20/2017,Trash - Curbside/Alley Missed Pickup,1133 Kirkland Ave & pickup on Windsor Ave side.  {Curb/Trash} Tuesday.,1133 Kirkland Ave,37216,RED RIVER,1205,7,1752691.335,683418.8694
34381,12/20/2017,Trash Collection Complaint,"said red river truck is emptying both trash & recycle carts into trash truck
(615) 298-1797",311 windemere woods dr,37215,RED RIVER,3305S,34,1723549.732,645081.5845
34406,12/20/2017,Trash Collection Complaint,"left message on cart for driver to come to door so they could wish happy holidays
upset they did not come up to home",611 hillwood blvd,37205,RED RIVER,2302,23,1710909.171,656440.4471
34409,12/20/2017,Trash - Backdoor,"only emptied 1 of 2 cart
backdoor pick up",4429 Enchanted CIr,37218,RED RIVER,3203,1,1715052.071,687348.1039
34491,12/20/2017,Trash Collection Complaint,2nd trash cart fell in truck,511 31st ave n,37209,METRO,9303,21,1725925.394,664133.855
34737,12/21/2017,Damage to Property,the truck went through customer's driveway and now a section of the driveway has caved in,2616 Pennington Bend Rd,37214,RED RIVER,1501,15,1763282.938,691291.3042
34921,12/22/2017,Trash Collection Complaint,Alley trash pickup and truck is not setting carts back when they emptied cart. That's why carts get stolen and taken because they leave them everywhere and wants this matter to be corrected.,1425 Sumner Ave,37206,WASTE IND,2506,6,1749533.05,675179.7595
34947,12/23/2017,Trash - Curbside/Alley Missed Pickup,"Trash service picked up recycling, not trash. Green bin is empty; brown is full.",1507 Long Ave,37206,METRO,9508,6,1748767.535,669309.7014
35166,12/27/2017,Trash - Curbside/Alley Missed Pickup,"Curb/trash extra pickup, ill and did not set out on time.",3013 Buenaview Blvd,37218,RED RIVER,3204,1,1725219.232,690674.5705
35204,12/27/2017,Trash - Backdoor,backdoor pick up,4429 Enchanted CIr,37218,RED RIVER,3203,1,1715052.071,687348.1039
35388,12/27/2017,Damage to Property,2011 Richard Jones Rd- hydrailic fluid leaked on the parking lot,2011 Richard Jones Rd,37215,Metro,,25,1728961.934,645560.0972
35389,12/27/2017,Trash - Curbside/Alley Missed Pickup,only emptied 1 of 2 trash carts,310 sunrise ave,37211,RED RIVER,4304,16,1749978.26,645394.6414
35416,12/27/2017,Trash Collection Complaint,"Damage to trash bin.  For the past several months the trash bins in this area are being left in the street, ""thrown"" or dropped from the truck and damaged.  This morning mine was dropped with the top under it. The top now has a big crack. rain and will be difficult to keep clean.  This started happening several months ago; apparently, a new driver.  The former driver always left the bins in good condition and out of the street.",212 Antioch Pike,37211,RED RIVER,4304,16,1751799.536,644356.8971
35431,12/28/2017,Trash Collection Complaint,"Backdoor Trash Pick up - 
left trash cart in driveway - need to go back and return cart to carport",424 Moore Ave,37203,METRO,9406,17,1742990.377,657410.0514
35553,12/28/2017,Trash Collection Complaint,CART IS NOT BEING EMPTIED ALL THE WAY FOR 2ND TIME IN A ROW,719 29TH AVE N,37209,METRO,9304,21,1726345.15,665957.8515
35684,12/28/2017,Trash - Curbside/Alley Missed Pickup,2,3100 Wellington,37212,METRO,9305,18,1728258.431,658537.1734
35818,12/29/2017,Trash Collection Complaint,"Caller states trash-men are leaving a lot of trash and litter behind, on the ground. ALLEY. Also they only emptied half way. Friday.",1037 Granada Ave,37206,WASTE IND,2509,5,1747923.019,676191.5298
35857,12/29/2017,Trash - Curbside/Alley Missed Pickup,daughters car parked in front,,,,,,,
35881,12/29/2017,Trash - Curbside/Alley Missed Pickup,only got one side of street,323 binkley dr,37211,RED RIVER,4302,26,1749609.281,636479.7252
35908,12/29/2017,Trash - Curbside/Alley Missed Pickup,wants trash picked up today before 4:30 wants spvr on phone now !,5550 Mt View Rd,37013,RED RIVER,4504,32,1780679.999,622560.7411
35938,12/30/2017,Trash - Curbside/Alley Missed Pickup,Why didn?t the trash get picked up this week !?? I live on chickasaw ave Nashville tn 37207,912 Chickasaw Ave,37207,METRO,9203,5,1746233.934,680298.5032
35954,12/31/2017,Trash - Curbside/Alley Missed Pickup,My pickup day is on Friday so I put my trash out on Thursday. It's still there today!,423 Wanda Dr,37214,RED RIVER,2503,15,1764599.866,664632.5862
36287,1/2/2018,Damage to Property,truck hit cart then cart hit & broke auto window,3016 VISTAVALLEY CT,37218,RED RIVER,3204,1,1723058.694,690346.4111
36598,1/3/2018,Trash Collection Complaint,Trash/Truck is not suppose to go into the drive and every-time they change drivers this happens. Only suppose to pickup trash/on Lyle Ct. Talk to drivers that pickup on that route not to go into the back of these homes. {Wants to make sure this does not happen again.,2115 Lyle Ct A,37210,RED RIVER,4303,16,1751019.779,652637.3807
36603,1/3/2018,Trash Collection Complaint,Almost every week trash/guys seems to be leaving bags of trash/on the street. Customer has to keep cleaning up this mess. Curb {On the Avenal Ave side},200 Antioch Pike,37211,RED RIVER,4304,16,1752106.693,644324.4336
36644,1/3/2018,Trash - Curbside/Alley Missed Pickup,"2 trash/carts only emptied one cart, leaving 2nd trash/cart full. Wants cart empty. Curb",3033 Hillside Rd,37207,RED RIVER,2201,8,1745356.135,690079.7042
36691,1/3/2018,Trash - Curbside/Alley Missed Pickup,cust says everyone was picked up except his,2313 CASTLEMAN DR,37215,RED RIVER,3301,34,1723347.532,644125.6969
36777,1/4/2018,Trash - Curbside/Alley Missed Pickup,Curb trash/Tuesday.,2200 McGavock Pike,37216,RED RIVER,1204,7,1758869.255,685626.5925
36802,1/4/2018,Damage to Property,leaking of hydraulic  fluid throughout neighborhood - needs cleaned up,3945 ATKINS DR,37211,RED RIVER,1403,26,1758524.155,639680.7544
36823,1/4/2018,Trash Collection Complaint,needs extra pickup - trash bag fell off top of cart & spilled into yard during pick up,102 ELBERTA ST,37210,WASTE IND,4406,16,1749517.642,650552.2641
36952,1/4/2018,Trash - Curbside/Alley Missed Pickup,cust says everyone's cart was emptied except for hers,3011 HARLIN DR,37211,METRO,9408,16,1747169.935,646323.2967
37041,1/5/2018,Trash - Curbside/Alley Missed Pickup,other trash bins in the alley were emptied but mine was not.,2010 Beech Ave,37204,METRO,9401,17,1738010.733,656170.4991
